date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:53	2622/2622	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e2339c746cd434f23cdf15c388247213%22	https://eventos-freefire.vercel.app/robots.txt		(from )
12:46:53	12459/12459	---MCZ	200	added ('OK')	text/html	etag:W/%22fae8641e9adeb8d57cca61ec7a11eb91%22	https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/index21f8.html	(from )
12:46:53	58512/58512	---M--	200	added ('OK')	font/woff2	etag:%22c47061a6ce9601b5dea8da0c9e847f79%22	https://eventos-freefire.vercel.app/_next/static/media/028c0d39d2e8f589-s.p.woff2	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/media/028c0d39d2e8f589-s.p.woff2	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:54	58092/58092	---M--	200	added ('OK')	font/woff2	etag:%22c36289c8eb40b089247060459534962c%22	https://eventos-freefire.vercel.app/_next/static/media/5b01f339abf2f1a5.p.woff2	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/media/5b01f339abf2f1a5.p.woff2	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:56	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Oct%202025%2015:46:54%20GMT	https://i.postimg.cc/9XJwYy4d/Design-sem-nome-30.png	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/i.postimg.cc/9XJwYy4d/Design-sem-nome-30.2.delayed	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:56	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Oct%202025%2015:46:54%20GMT	https://i.postimg.cc/Znw9Yvvz/Design-sem-nome-32.png	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/i.postimg.cc/Znw9Yvvz/Design-sem-nome-32.png	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:57	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Oct%202025%2015:46:55%20GMT	https://i.postimg.cc/KjXq9CpW/Design-sem-nome-29.png	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/i.postimg.cc/KjXq9CpW/Design-sem-nome-29.png	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:57	73276/73276	---MCZ	200	added ('OK')	text/css	etag:W/%22113ca309abfb413d4bcfb6d8d43d1d20%22	https://eventos-freefire.vercel.app/_next/static/css/fccfc7d5da6f157a.css	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/css/fccfc7d5da6f157a.css	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:57	3996/3996	---MCZ	200	added ('OK')	application/javascript	etag:W/%220570fb263d7d32c23f8567d1de2d2641%22	https://eventos-freefire.vercel.app/_next/static/chunks/webpack-f01e7b088fbf31ef.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/webpack-f01e7b088fbf31ef.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:58	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%22653b7fb381733b8058303e13dd14700c%22	https://eventos-freefire.vercel.app/_next/static/chunks/fd9d1056-75ea544d82f7480f.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/fd9d1056-75ea544d82f7480f.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:58	123527/123527	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc11f44f9c4d328d152fe104b6652d6f%22	https://eventos-freefire.vercel.app/_next/static/chunks/117-125ac67390fa2461.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/117-125ac67390fa2461.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:58	461/461	---M--	200	added ('OK')	application/javascript	etag:%22c99dc6974bed49baaa682be916d481c8%22	https://eventos-freefire.vercel.app/_next/static/chunks/main-app-b840e258ff6945a0.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/main-app-b840e258ff6945a0.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:59	36399/36399	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e33a5a231b70e5ff33f91aacf37b8e87%22	https://eventos-freefire.vercel.app/_next/static/chunks/335-c57b786ccb769551.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/335-c57b786ccb769551.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:46:59	16814/16814	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d2c6d3b0eabe4b7ac21b537ca3c6792c%22	https://eventos-freefire.vercel.app/_next/static/chunks/app/page-5e2226f1982a06bc.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/app/page-5e2226f1982a06bc.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:47:00	7850/7850	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a0b7da4038d584416ed12c0659249cc5%22	https://eventos-freefire.vercel.app/_next/static/chunks/app/layout-752b7f0db34644ca.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/app/layout-752b7f0db34644ca.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:47:00	16768/16768	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/cdn.utmify.com.br/scripts/utms/latest.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:47:00	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b38a2d0cd705066e9e7c9be8720c5ea%22	https://eventos-freefire.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/eventos-freefire.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:47:00	0/-1	---M--	302	error ('')			https://i.postimg.cc/9XJwYy4d/Design-sem-nome-30.png	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/i.postimg.cc/9XJwYy4d/Design-sem-nome-30.f.delayed	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:47:01	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Oct%202025%2015:46:59%20GMT	https://i.postimg.cc/Znw9Yvvz/Design-sem-nome-32.png	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/i.postimg.cc/Znw9Yvvz/Design-sem-nome-32.png	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
12:47:01	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Oct%202025%2015:46:59%20GMT	https://i.postimg.cc/KjXq9CpW/Design-sem-nome-29.png	C:/Users/ctter/OneDrive/Desktop/Trabalhos/7/Recarga%20Jogo/RECARGA-JOGO/i.postimg.cc/KjXq9CpW/Design-sem-nome-29.png	(from https://eventos-freefire.vercel.app/?utm_source=bio&fbclid=PAZXh0bgNhZW0CMTEAAacNSt93Rj5yvLC_9yPixl6VxhbCsYWd6VEQ7EeT3DhJpUWtibVkSPm703QQpg_aem_Jvv2W2S0bqtNCF9Fw3EsFQ)
